,Section,Instruction Mode,Class No,Enroll Stat,Open Seats,Wait List,Hour
3503236,014 (DIS),In Person,26935,Open,14,-1,2021-11-27 19:00:00
3503237,015 (DIS),In Person,26936,Open,23,-1,2021-11-27 19:00:00
3503238,016 (DIS),In Person,26937,Open,17,-1,2021-11-27 19:00:00
3514408,001 (LEC),In Person,26932,Open,49,-1,2021-11-27 20:00:00
3514409,002 (LEC),In Person,24565,Open,53,-1,2021-11-27 20:00:00
3514410,011 (DIS),In Person,22551,Open,14,-1,2021-11-27 20:00:00
3514411,012 (DIS),In Person,23854,Open,20,-1,2021-11-27 20:00:00
3514412,013 (DIS),In Person,23855,Open,14,-1,2021-11-27 20:00:00
3514413,014 (DIS),In Person,26935,Open,14,-1,2021-11-27 20:00:00
3514414,015 (DIS),In Person,26936,Open,23,-1,2021-11-27 20:00:00
3514415,016 (DIS),In Person,26937,Open,17,-1,2021-11-27 20:00:00
3528406,001 (LEC),In Person,26932,Open,49,-1,2021-11-27 21:00:00
3528407,002 (LEC),In Person,24565,Open,53,-1,2021-11-27 21:00:00
3528408,011 (DIS),In Person,22551,Open,14,-1,2021-11-27 21:00:00
3528409,012 (DIS),In Person,23854,Open,20,-1,2021-11-27 21:00:00
3528410,013 (DIS),In Person,23855,Open,14,-1,2021-11-27 21:00:00
3528411,014 (DIS),In Person,26935,Open,14,-1,2021-11-27 21:00:00
3528412,015 (DIS),In Person,26936,Open,23,-1,2021-11-27 21:00:00
3528413,016 (DIS),In Person,26937,Open,17,-1,2021-11-27 21:00:00
3546309,001 (LEC),In Person,26932,Open,49,-1,2021-11-27 22:00:00
3546310,002 (LEC),In Person,24565,Open,53,-1,2021-11-27 22:00:00
3546311,011 (DIS),In Person,22551,Open,14,-1,2021-11-27 22:00:00
3546312,012 (DIS),In Person,23854,Open,20,-1,2021-11-27 22:00:00
3546313,013 (DIS),In Person,23855,Open,14,-1,2021-11-27 22:00:00
3546314,014 (DIS),In Person,26935,Open,14,-1,2021-11-27 22:00:00
3546315,015 (DIS),In Person,26936,Open,23,-1,2021-11-27 22:00:00
3546316,016 (DIS),In Person,26937,Open,17,-1,2021-11-27 22:00:00
3559608,001 (LEC),In Person,26932,Open,49,-1,2021-11-27 23:00:00
3559609,002 (LEC),In Person,24565,Open,53,-1,2021-11-27 23:00:00
3559610,011 (DIS),In Person,22551,Open,14,-1,2021-11-27 23:00:00
3559611,012 (DIS),In Person,23854,Open,20,-1,2021-11-27 23:00:00
3559612,013 (DIS),In Person,23855,Open,14,-1,2021-11-27 23:00:00
3559613,014 (DIS),In Person,26935,Open,14,-1,2021-11-27 23:00:00
3559614,015 (DIS),In Person,26936,Open,23,-1,2021-11-27 23:00:00
3559615,016 (DIS),In Person,26937,Open,17,-1,2021-11-27 23:00:00
3568571,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 00:00:00
3568572,002 (LEC),In Person,24565,Open,53,-1,2021-11-28 00:00:00
3568573,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 00:00:00
3568574,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 00:00:00
3568575,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 00:00:00
3568576,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 00:00:00
3568577,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 00:00:00
3568578,016 (DIS),In Person,26937,Open,17,-1,2021-11-28 00:00:00
3586231,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 01:00:00
3586232,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 01:00:00
3586233,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 01:00:00
3586234,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 01:00:00
3586235,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 01:00:00
3586236,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 01:00:00
3586237,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 01:00:00
3586238,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 01:00:00
3601290,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 03:00:00
3601291,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 03:00:00
3601292,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 03:00:00
3601293,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 03:00:00
3601294,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 03:00:00
3601295,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 03:00:00
3601296,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 03:00:00
3601297,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 03:00:00
3613995,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 04:00:00
3613996,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 04:00:00
3613997,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 04:00:00
3613998,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 04:00:00
3613999,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 04:00:00
3614000,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 04:00:00
3614001,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 04:00:00
3614002,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 04:00:00
3627575,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 05:00:00
3627576,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 05:00:00
3627577,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 05:00:00
3627578,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 05:00:00
3627579,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 05:00:00
3627580,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 05:00:00
3627581,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 05:00:00
3627582,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 05:00:00
3637586,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 06:00:00
3637587,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 06:00:00
3637588,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 06:00:00
3637589,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 06:00:00
3637590,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 06:00:00
3637591,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 06:00:00
3637592,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 06:00:00
3637593,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 06:00:00
3648504,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 07:00:00
3648505,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 07:00:00
3648506,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 07:00:00
3648507,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 07:00:00
3648508,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 07:00:00
3648509,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 07:00:00
3648510,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 07:00:00
3648511,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 07:00:00
3663381,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 08:00:00
3663382,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 08:00:00
3663383,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 08:00:00
3663384,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 08:00:00
3663385,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 08:00:00
3663386,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 08:00:00
3663387,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 08:00:00
3663388,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 08:00:00
3681389,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 09:00:00
3681390,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 09:00:00
3681391,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 09:00:00
3681392,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 09:00:00
3681393,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 09:00:00
3681394,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 09:00:00
3681395,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 09:00:00
3681396,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 09:00:00
3690411,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 10:00:00
3690412,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 10:00:00
3690413,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 10:00:00
3690414,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 10:00:00
3690415,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 10:00:00
3690416,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 10:00:00
3690417,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 10:00:00
3690418,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 10:00:00
3702134,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 11:00:00
3702135,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 11:00:00
3702136,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 11:00:00
3702137,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 11:00:00
3702138,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 11:00:00
3702139,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 11:00:00
3702140,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 11:00:00
3702141,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 11:00:00
3720639,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 12:00:00
3720640,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 12:00:00
3720641,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 12:00:00
3720642,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 12:00:00
3720643,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 12:00:00
3720644,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 12:00:00
3720645,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 12:00:00
3720646,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 12:00:00
3733678,001 (LEC),In Person,26932,Open,49,-1,2021-11-28 13:00:00
3733679,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 13:00:00
3733680,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 13:00:00
3733681,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 13:00:00
3733682,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 13:00:00
3733683,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 13:00:00
3733684,015 (DIS),In Person,26936,Open,23,-1,2021-11-28 13:00:00
3733685,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 13:00:00
3745305,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 14:00:00
3745306,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 14:00:00
3745307,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 14:00:00
3745308,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 14:00:00
3745309,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 14:00:00
3745310,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 14:00:00
3745311,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 14:00:00
3745312,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 14:00:00
3758643,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 15:00:00
3758644,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 15:00:00
3758645,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 15:00:00
3758646,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 15:00:00
3758647,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 15:00:00
3758648,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 15:00:00
3758649,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 15:00:00
3758650,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 15:00:00
3768697,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 16:00:00
3768698,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 16:00:00
3768699,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 16:00:00
3768700,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 16:00:00
3768701,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 16:00:00
3768702,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 16:00:00
3768703,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 16:00:00
3768704,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 16:00:00
3783204,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 17:00:00
3783205,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 17:00:00
3783206,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 17:00:00
3783207,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 17:00:00
3783208,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 17:00:00
3783209,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 17:00:00
3783210,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 17:00:00
3783211,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 17:00:00
3797891,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 18:00:00
3797892,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 18:00:00
3797893,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 18:00:00
3797894,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 18:00:00
3797895,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 18:00:00
3797896,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 18:00:00
3797897,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 18:00:00
3797898,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 18:00:00
3811613,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 19:00:00
3811614,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 19:00:00
3811615,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 19:00:00
3811616,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 19:00:00
3811617,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 19:00:00
3811618,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 19:00:00
3811619,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 19:00:00
3811620,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 19:00:00
3826790,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 20:00:00
3826791,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 20:00:00
3826792,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 20:00:00
3826793,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 20:00:00
3826794,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 20:00:00
3826795,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 20:00:00
3826796,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 20:00:00
3826797,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 20:00:00
3843078,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 21:00:00
3843079,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 21:00:00
3843080,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 21:00:00
3843081,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 21:00:00
3843082,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 21:00:00
3843083,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 21:00:00
3843084,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 21:00:00
3843085,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 21:00:00
3851860,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 22:00:00
3851861,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 22:00:00
3851862,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 22:00:00
3851863,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 22:00:00
3851864,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 22:00:00
3851865,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 22:00:00
3851866,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 22:00:00
3851867,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 22:00:00
3863892,001 (LEC),In Person,26932,Open,48,-1,2021-11-28 23:00:00
3863893,002 (LEC),In Person,24565,Open,54,-1,2021-11-28 23:00:00
3863894,011 (DIS),In Person,22551,Open,14,-1,2021-11-28 23:00:00
3863895,012 (DIS),In Person,23854,Open,20,-1,2021-11-28 23:00:00
3863896,013 (DIS),In Person,23855,Open,14,-1,2021-11-28 23:00:00
3863897,014 (DIS),In Person,26935,Open,14,-1,2021-11-28 23:00:00
3863898,015 (DIS),In Person,26936,Open,22,-1,2021-11-28 23:00:00
3863899,016 (DIS),In Person,26937,Open,18,-1,2021-11-28 23:00:00
3876719,001 (LEC),In Person,26932,Open,48,-1,2021-11-29 00:00:00
3876720,002 (LEC),In Person,24565,Open,54,-1,2021-11-29 00:00:00
3876721,011 (DIS),In Person,22551,Open,14,-1,2021-11-29 00:00:00
3876722,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 00:00:00
3876723,013 (DIS),In Person,23855,Open,14,-1,2021-11-29 00:00:00
3876724,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 00:00:00
3876725,015 (DIS),In Person,26936,Open,22,-1,2021-11-29 00:00:00
3876726,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 00:00:00
3895872,001 (LEC),In Person,26932,Open,48,-1,2021-11-29 01:00:00
3895873,002 (LEC),In Person,24565,Open,54,-1,2021-11-29 01:00:00
3895874,011 (DIS),In Person,22551,Open,14,-1,2021-11-29 01:00:00
3895875,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 01:00:00
3895876,013 (DIS),In Person,23855,Open,14,-1,2021-11-29 01:00:00
3895877,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 01:00:00
3895878,015 (DIS),In Person,26936,Open,22,-1,2021-11-29 01:00:00
3895879,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 01:00:00
3908769,001 (LEC),In Person,26932,Open,48,-1,2021-11-29 02:00:00
3908770,002 (LEC),In Person,24565,Open,54,-1,2021-11-29 02:00:00
3908771,011 (DIS),In Person,22551,Open,14,-1,2021-11-29 02:00:00
3908772,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 02:00:00
3908773,013 (DIS),In Person,23855,Open,14,-1,2021-11-29 02:00:00
3908774,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 02:00:00
3908775,015 (DIS),In Person,26936,Open,22,-1,2021-11-29 02:00:00
3908776,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 02:00:00
3920161,001 (LEC),In Person,26932,Open,48,-1,2021-11-29 03:00:00
3920162,002 (LEC),In Person,24565,Open,54,-1,2021-11-29 03:00:00
3920163,011 (DIS),In Person,22551,Open,14,-1,2021-11-29 03:00:00
3920164,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 03:00:00
3920165,013 (DIS),In Person,23855,Open,14,-1,2021-11-29 03:00:00
3920166,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 03:00:00
3920167,015 (DIS),In Person,26936,Open,22,-1,2021-11-29 03:00:00
3920168,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 03:00:00
3929851,001 (LEC),In Person,26932,Open,48,-1,2021-11-29 05:00:00
3929852,002 (LEC),In Person,24565,Open,52,-1,2021-11-29 05:00:00
3929853,011 (DIS),In Person,22551,Open,13,-1,2021-11-29 05:00:00
3929854,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 05:00:00
3929855,013 (DIS),In Person,23855,Open,14,-1,2021-11-29 05:00:00
3929856,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 05:00:00
3929857,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 05:00:00
3929858,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 05:00:00
3939318,001 (LEC),In Person,26932,Open,48,-1,2021-11-29 06:00:00
3939319,002 (LEC),In Person,24565,Open,52,-1,2021-11-29 06:00:00
3939320,011 (DIS),In Person,22551,Open,13,-1,2021-11-29 06:00:00
3939321,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 06:00:00
3939322,013 (DIS),In Person,23855,Open,14,-1,2021-11-29 06:00:00
3939323,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 06:00:00
3939324,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 06:00:00
3939325,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 06:00:00
3957337,001 (LEC),In Person,26932,Open,49,-1,2021-11-29 08:00:00
3957338,002 (LEC),In Person,24565,Open,52,-1,2021-11-29 08:00:00
3957339,011 (DIS),In Person,22551,Open,13,-1,2021-11-29 08:00:00
3957340,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 08:00:00
3957341,013 (DIS),In Person,23855,Open,15,-1,2021-11-29 08:00:00
3957342,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 08:00:00
3957343,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 08:00:00
3957344,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 08:00:00
3963264,001 (LEC),In Person,26932,Open,49,-1,2021-11-29 09:00:00
3963265,002 (LEC),In Person,24565,Open,52,-1,2021-11-29 09:00:00
3963266,011 (DIS),In Person,22551,Open,13,-1,2021-11-29 09:00:00
3963267,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 09:00:00
3963268,013 (DIS),In Person,23855,Open,15,-1,2021-11-29 09:00:00
3963269,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 09:00:00
3963270,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 09:00:00
3963271,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 09:00:00
3979381,001 (LEC),In Person,26932,Open,49,-1,2021-11-29 11:00:00
3979382,002 (LEC),In Person,24565,Open,52,-1,2021-11-29 11:00:00
3979383,011 (DIS),In Person,22551,Open,13,-1,2021-11-29 11:00:00
3979384,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 11:00:00
3979385,013 (DIS),In Person,23855,Open,15,-1,2021-11-29 11:00:00
3979386,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 11:00:00
3979387,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 11:00:00
3979388,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 11:00:00
3994796,001 (LEC),In Person,26932,Open,49,-1,2021-11-29 12:00:00
3994797,002 (LEC),In Person,24565,Open,52,-1,2021-11-29 12:00:00
3994798,011 (DIS),In Person,22551,Open,13,-1,2021-11-29 12:00:00
3994799,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 12:00:00
3994800,013 (DIS),In Person,23855,Open,15,-1,2021-11-29 12:00:00
3994801,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 12:00:00
3994802,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 12:00:00
3994803,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 12:00:00
4010959,001 (LEC),In Person,26932,Open,49,-1,2021-11-29 13:00:00
4010960,002 (LEC),In Person,24565,Open,52,-1,2021-11-29 13:00:00
4010961,011 (DIS),In Person,22551,Open,13,-1,2021-11-29 13:00:00
4010962,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 13:00:00
4010963,013 (DIS),In Person,23855,Open,15,-1,2021-11-29 13:00:00
4010964,014 (DIS),In Person,26935,Open,14,-1,2021-11-29 13:00:00
4010965,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 13:00:00
4010966,016 (DIS),In Person,26937,Open,18,-1,2021-11-29 13:00:00
4024743,001 (LEC),In Person,26932,Open,49,-1,2021-11-29 15:00:00
4024744,002 (LEC),In Person,24565,Open,49,-1,2021-11-29 15:00:00
4024745,011 (DIS),In Person,22551,Open,11,-1,2021-11-29 15:00:00
4024746,012 (DIS),In Person,23854,Open,20,-1,2021-11-29 15:00:00
4024747,013 (DIS),In Person,23855,Open,14,-1,2021-11-29 15:00:00
4024748,014 (DIS),In Person,26935,Open,13,-1,2021-11-29 15:00:00
4024749,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 15:00:00
4024750,016 (DIS),In Person,26937,Open,19,-1,2021-11-29 15:00:00
4038011,001 (LEC),In Person,26932,Open,49,-1,2021-11-29 16:00:00
4038012,002 (LEC),In Person,24565,Open,46,-1,2021-11-29 16:00:00
4038013,011 (DIS),In Person,22551,Open,10,-1,2021-11-29 16:00:00
4038014,012 (DIS),In Person,23854,Open,19,-1,2021-11-29 16:00:00
4038015,013 (DIS),In Person,23855,Open,13,-1,2021-11-29 16:00:00
4038016,014 (DIS),In Person,26935,Open,13,-1,2021-11-29 16:00:00
4038017,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 16:00:00
4038018,016 (DIS),In Person,26937,Open,19,-1,2021-11-29 16:00:00
4046592,001 (LEC),In Person,26932,Open,46,-1,2021-11-29 18:00:00
4046593,002 (LEC),In Person,24565,Open,42,-1,2021-11-29 18:00:00
4046594,011 (DIS),In Person,22551,Open,9,-1,2021-11-29 18:00:00
4046595,012 (DIS),In Person,23854,Open,17,-1,2021-11-29 18:00:00
4046596,013 (DIS),In Person,23855,Open,12,-1,2021-11-29 18:00:00
4046597,014 (DIS),In Person,26935,Open,13,-1,2021-11-29 18:00:00
4046598,015 (DIS),In Person,26936,Open,21,-1,2021-11-29 18:00:00
4046599,016 (DIS),In Person,26937,Open,16,-1,2021-11-29 18:00:00
4064778,001 (LEC),In Person,26932,Open,45,-1,2021-11-29 19:00:00
4064779,002 (LEC),In Person,24565,Open,40,-1,2021-11-29 19:00:00
4064780,011 (DIS),In Person,22551,Open,8,-1,2021-11-29 19:00:00
4064781,012 (DIS),In Person,23854,Open,17,-1,2021-11-29 19:00:00
4064782,013 (DIS),In Person,23855,Open,12,-1,2021-11-29 19:00:00
4064783,014 (DIS),In Person,26935,Open,13,-1,2021-11-29 19:00:00
4064784,015 (DIS),In Person,26936,Open,20,-1,2021-11-29 19:00:00
4064785,016 (DIS),In Person,26937,Open,15,-1,2021-11-29 19:00:00
4078670,001 (LEC),In Person,26932,Open,42,-1,2021-11-29 21:00:00
4078671,002 (LEC),In Person,24565,Open,36,-1,2021-11-29 21:00:00
4078672,011 (DIS),In Person,22551,Open,7,-1,2021-11-29 21:00:00
4078673,012 (DIS),In Person,23854,Open,17,-1,2021-11-29 21:00:00
4078674,013 (DIS),In Person,23855,Open,11,-1,2021-11-29 21:00:00
4078675,014 (DIS),In Person,26935,Open,12,-1,2021-11-29 21:00:00
4078676,015 (DIS),In Person,26936,Open,17,-1,2021-11-29 21:00:00
4078677,016 (DIS),In Person,26937,Open,14,-1,2021-11-29 21:00:00
4085396,001 (LEC),In Person,26932,Open,37,-1,2021-11-29 22:00:00
4085397,002 (LEC),In Person,24565,Open,35,-1,2021-11-29 22:00:00
4085398,011 (DIS),In Person,22551,Open,3,-1,2021-11-29 22:00:00
4085399,012 (DIS),In Person,23854,Open,17,-1,2021-11-29 22:00:00
4085400,013 (DIS),In Person,23855,Open,11,-1,2021-11-29 22:00:00
4085401,014 (DIS),In Person,26935,Open,10,-1,2021-11-29 22:00:00
4085402,015 (DIS),In Person,26936,Open,18,-1,2021-11-29 22:00:00
4085403,016 (DIS),In Person,26937,Open,13,-1,2021-11-29 22:00:00
4102798,001 (LEC),In Person,26932,Open,35,-1,2021-11-29 23:00:00
4102799,002 (LEC),In Person,24565,Open,31,-1,2021-11-29 23:00:00
